Case_ID,Year_State_ID,Category,Type,Stream,Fate,Tonnes,Core_Non-core,Description
34699,1001,Hazardous wastes,Acids (B),C&D,Recycling,0,NA,A total of 0.00 tonnes of Acids (B) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34700,1001,Hazardous wastes,Acids (B),C&D,Disposal,0,NA,A total of 0.00 tonnes of Acids (B) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Well done! This is a great step toward sustainability.
34701,1001,Hazardous wastes,Acids (B),C&D,Energy recovery,0,NA,A total of 0.00 tonnes of Acids (B) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34702,1001,Hazardous wastes,Acids (B),C&D,Recycling,0,NA,"A total of 0.00 tonnes of Acids (B) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34703,1001,Hazardous wastes,Acids (B),C&I,Energy recovery,0,NA,"A total of 0.00 tonnes of Acids (B) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34704,1001,Hazardous wastes,Acids (B),C&I,Disposal,0.014310445,NA,A total of 0.01 tonnes of Acids (B) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Adverse waste effects—try to focus on recycling or reducing waste.
34705,1001,Hazardous wastes,Acids (B),C&I,Disposal,1.42e-5,NA,A total of 0.00 tonnes of Acids (B) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Ecologically unfriendly. Waste reduction strategies should be explored.
34706,1001,Hazardous wastes,Acids (B),C&I,Recycling,0.03647028,NA,A total of 0.04 tonnes of Acids (B) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Excellent waste management! Keep going.
34707,1001,Hazardous wastes,Acids (B),C&I,Disposal,2.015282047,NA,A total of 2.02 tonnes of Acids (B) (C&I) was sent for Disposal. Environmental Impact Score: 2/10. Degrading environmental quality. Try to implement better waste practices.
34708,1001,Hazardous wastes,Acids (B),C&I,Energy recovery,0,NA,"A total of 0.00 tonnes of Acids (B) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34709,1001,Hazardous wastes,Acids (B),C&I,Recycling,3.022923071,NA,A total of 3.02 tonnes of Acids (B) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34717,1001,Hazardous wastes,Alkalis (C),C&D,Energy recovery,0,Core waste,A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34718,1001,Hazardous wastes,Alkalis (C),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Great effort! Keep up the sustainable practices.
34719,1001,Hazardous wastes,Alkalis (C),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Great effort! Keep up the sustainable practices.
34720,1001,Hazardous wastes,Alkalis (C),C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34721,1001,Hazardous wastes,Alkalis (C),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Excellent waste management! Keep going.
34722,1001,Hazardous wastes,Alkalis (C),C&D,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34723,1001,Hazardous wastes,Alkalis (C),C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Alkalis (C) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34724,1001,Hazardous wastes,Alkalis (C),C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Alkalis (C) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34725,1001,Hazardous wastes,Alkalis (C),C&I,Disposal,0.123358432,Core waste,A total of 0.12 tonnes of Alkalis (C) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Degrading environmental quality. Try to implement better waste practices.
34726,1001,Hazardous wastes,Alkalis (C),C&I,Disposal,0.006010456,Core waste,A total of 0.01 tonnes of Alkalis (C) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. This has a harmful environmental impact. Consider reducing waste.
34727,1001,Hazardous wastes,Alkalis (C),C&I,Recycling,0.274912891,Core waste,A total of 0.27 tonnes of Alkalis (C) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34728,1001,Hazardous wastes,Alkalis (C),C&I,Disposal,0.070359111,Core waste,A total of 0.07 tonnes of Alkalis (C) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Ecologically unfriendly. Waste reduction strategies should be explored.
34729,1001,Hazardous wastes,Alkalis (C),C&I,Energy recovery,0,Core waste,A total of 0.00 tonnes of Alkalis (C) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34730,1001,Hazardous wastes,Alkalis (C),C&I,Recycling,0.070359111,Core waste,A total of 0.07 tonnes of Alkalis (C) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Your efforts in reducing waste are commendable!
34738,1001,Hazardous wastes,Asbestos (N220),C&D,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Asbestos (N220) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34739,1001,Hazardous wastes,Asbestos (N220),C&D,Disposal,10555.81073,Core waste,A total of 10555.81 tonnes of Asbestos (N220) (C&D) was sent for Disposal. Environmental Impact Score: 3/10. Ecologically unfriendly. Waste reduction strategies should be explored.
34740,1001,Hazardous wastes,Asbestos (N220),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Asbestos (N220) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Great effort! Keep up the sustainable practices.
34741,1001,Hazardous wastes,Asbestos (N220),C&D,Recycling,0,Core waste,A total of 0.00 tonnes of Asbestos (N220) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34742,1001,Hazardous wastes,Asbestos (N220),C&D,Disposal,6.049272258,Core waste,A total of 6.05 tonnes of Asbestos (N220) (C&D) was sent for Disposal. Environmental Impact Score: 3/10. Adverse waste effects—try to focus on recycling or reducing waste.
34743,1001,Hazardous wastes,Asbestos (N220),C&D,Energy recovery,0,Core waste,A total of 0.00 tonnes of Asbestos (N220) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34744,1001,Hazardous wastes,Asbestos (N220),C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Asbestos (N220) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34745,1001,Hazardous wastes,Asbestos (N220),C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Asbestos (N220) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34746,1001,Hazardous wastes,Asbestos (N220),C&I,Disposal,8991.986916,Core waste,A total of 8991.99 tonnes of Asbestos (N220) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Destructive waste disposal—consider greener options for the future.
34747,1001,Hazardous wastes,Asbestos (N220),C&I,Disposal,0,Core waste,A total of 0.00 tonnes of Asbestos (N220) (C&I) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!
34748,1001,Hazardous wastes,Asbestos (N220),C&I,Recycling,0,Core waste,"A total of 0.00 tonnes of Asbestos (N220) (C&I) was sent for Recycling. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34749,1001,Hazardous wastes,Asbestos (N220),C&I,Disposal,5.153083775,Core waste,A total of 5.15 tonnes of Asbestos (N220) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Ecologically unfriendly. Waste reduction strategies should be explored.
34750,1001,Hazardous wastes,Asbestos (N220),C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Asbestos (N220) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34751,1001,Hazardous wastes,Asbestos (N220),C&I,Recycling,0,Core waste,A total of 0.00 tonnes of Asbestos (N220) (C&I) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34759,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34760,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!
34761,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!
34762,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34763,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Great effort! Keep up the sustainable practices.
34764,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Energy recovery,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34765,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&D,Recycling,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34766,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Energy recovery,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34767,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Disposal,1.021982562,Core waste,A total of 1.02 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. This approach negatively affects the environment. Rethink disposal methods.
34768,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Disposal,92.64856769,Core waste,A total of 92.65 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. This approach negatively affects the environment. Rethink disposal methods.
34769,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Recycling,0.085523085,Core waste,A total of 0.09 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. You're making a positive impact on the environment!
34770,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Disposal,98.23792666,Core waste,A total of 98.24 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. This approach negatively affects the environment. Rethink disposal methods.
34771,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Energy recovery,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34772,1001,Hazardous wastes,Clinical and pharmaceutical (R),C&I,Recycling,0,Core waste,A total of 0.00 tonnes of Clinical and pharmaceutical (R) (C&I) was sent for Recycling. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34780,1001,Hazardous wastes,Contaminated soils (N120),C&D,Energy recovery,0,Core waste,A total of 0.00 tonnes of Contaminated soils (N120) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34781,1001,Hazardous wastes,Contaminated soils (N120),C&D,Disposal,22.15152455,Core waste,A total of 22.15 tonnes of Contaminated soils (N120) (C&D) was sent for Disposal. Environmental Impact Score: 3/10. Degrading environmental quality. Try to implement better waste practices.
34782,1001,Hazardous wastes,Contaminated soils (N120),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Contaminated soils (N120) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Your efforts in reducing waste are commendable!
34783,1001,Hazardous wastes,Contaminated soils (N120),C&D,Recycling,3.172130182,Core waste,A total of 3.17 tonnes of Contaminated soils (N120) (C&D) was sent for Recycling. Environmental Impact Score: 8/10. You're making a positive impact on the environment!
34784,1001,Hazardous wastes,Contaminated soils (N120),C&D,Disposal,1.419013054,Core waste,A total of 1.42 tonnes of Contaminated soils (N120) (C&D) was sent for Disposal. Environmental Impact Score: 3/10. Ecologically unfriendly. Waste reduction strategies should be explored.
34785,1001,Hazardous wastes,Contaminated soils (N120),C&D,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Contaminated soils (N120) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34786,1001,Hazardous wastes,Contaminated soils (N120),C&D,Recycling,5.676052215,Core waste,A total of 5.68 tonnes of Contaminated soils (N120) (C&D) was sent for Recycling. Environmental Impact Score: 8/10. Great effort! Keep up the sustainable practices.
34787,1001,Hazardous wastes,Contaminated soils (N120),C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Contaminated soils (N120) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34788,1001,Hazardous wastes,Contaminated soils (N120),C&I,Disposal,8.614481769,Core waste,A total of 8.61 tonnes of Contaminated soils (N120) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Adverse waste effects—try to focus on recycling or reducing waste.
34789,1001,Hazardous wastes,Contaminated soils (N120),C&I,Disposal,0,Core waste,A total of 0.00 tonnes of Contaminated soils (N120) (C&I) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!
34790,1001,Hazardous wastes,Contaminated soils (N120),C&I,Recycling,1.233606182,Core waste,A total of 1.23 tonnes of Contaminated soils (N120) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34791,1001,Hazardous wastes,Contaminated soils (N120),C&I,Disposal,0.55183841,Core waste,A total of 0.55 tonnes of Contaminated soils (N120) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Polluting impact detected. Improvements in waste handling are needed.
34792,1001,Hazardous wastes,Contaminated soils (N120),C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Contaminated soils (N120) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34793,1001,Hazardous wastes,Contaminated soils (N120),C&I,Recycling,2.207353639,Core waste,A total of 2.21 tonnes of Contaminated soils (N120) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Great effort! Keep up the sustainable practices.
34801,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34802,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Disposal,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Your efforts in reducing waste are commendable!"
34803,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Disposal,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!"
34804,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste."
34805,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Disposal,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Your efforts in reducing waste are commendable!"
34806,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34807,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34808,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34809,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Disposal,34.14763361,Core waste,"A total of 34.15 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Ecologically unfriendly. Waste reduction strategies should be explored."
34810,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Disposal,0.009923694,Core waste,"A total of 0.01 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Destructive waste disposal—consider greener options for the future."
34811,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Recycling,4513.404083,Core waste,"A total of 4513.40 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Your efforts in reducing waste are commendable!"
34812,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Disposal,709.7691799,Core waste,"A total of 709.77 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Disposal. Environmental Impact Score: 3/10. Damaging impact on the environment. More sustainable practices needed."
34813,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Energy recovery,0,Core waste,"A total of 0.00 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Energy recovery. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34814,1001,Hazardous wastes,"Food-derived hazardous wastes (K100, K110)",C&I,Recycling,709.7691799,Core waste,"A total of 709.77 tonnes of Food-derived hazardous wastes (K100, K110) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Great effort! Keep up the sustainable practices."
34822,1001,Hazardous wastes,Inorganic chemicals (D),C&D,Energy recovery,0,Core waste,A total of 0.00 tonnes of Inorganic chemicals (D) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34823,1001,Hazardous wastes,Inorganic chemicals (D),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Inorganic chemicals (D) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Well done! This is a great step toward sustainability.
34824,1001,Hazardous wastes,Inorganic chemicals (D),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Inorganic chemicals (D) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!
34825,1001,Hazardous wastes,Inorganic chemicals (D),C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Inorganic chemicals (D) (C&D) was sent for Recycling. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34826,1001,Hazardous wastes,Inorganic chemicals (D),C&D,Disposal,0,Core waste,A total of 0.00 tonnes of Inorganic chemicals (D) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. You're making a positive impact on the environment!
